"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographics,,text,"Record ID",,,,,,,,,,,,,
date_enrolled,demographics,,text,"Date of Consent Signed:",,YYYY-MM-DD,date_ymd,,,,,,,,,,
first_name,demographics,,text,"Subject Initials (FML)",,"If no middle initial, please put a hyphen (-) as a place holder",,,,y,,,,,,,
dob,demographics,,text,"Date of Birth",,YYYY-MM-DD,date_ymd,,,y,,,,,,,
age,demographics,,calc,"Age (years)","rounddown(datediff(""today"", [dob], ""y"", ""ymd""), 1 )",,,,,,,,,,,,
ethnicity,demographics,,radio,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown / Not Reported",,,,,,,,LH,,,,
race,demographics,,dropdown,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported",,,,,,,,,,,,
sex,demographics,,radio,Gender,"0, Female | 1, Male",,,,,,,,,,,,
instruct_phq15_sc,phq15,,descriptive,"<center>During the past <u>4 weeks</u>, how much have you been bothered by any of the following problems?</center>",,,,,,,,,,,,,
stomach_pain_sc,phq15,,radio,"a. Stomach pain","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
back_pain_sc,phq15,,radio,"b. Back pain","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
leg_pain_sc,phq15,,radio,"c. Pain in your arms, legs, or joints (knees, hips, etc.)","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
menstrual_pain_sc,phq15,,radio,"d. Menstrual cramps or other problems with your periods (WOMEN ONLY)","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
headache_sc,phq15,,radio,"e. Headaches","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
chest_pain_sc,phq15,,radio,"f. Chest pain","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
dizziness_sc,phq15,,radio,"g. Dizziness","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
fainting_sc,phq15,,radio,"h. Fainting spells","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
heart_pound_sc,phq15,,radio,"i. Feeling your heart pound or race","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
short_of_breath_sc,phq15,,radio,"j. Shortness of breath","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
sexual_pain_sc,phq15,,radio,"k. Pain or problems during sexual intercourse","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
bowel_sc,phq15,,radio,"l. Constipation, loose bowels, or diarrhea","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
nausea_sc,phq15,,radio,"m. Nausea, gas, or indigestion","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
tired_sc,phq15,,radio,"n. Feeling tired or having low energy","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
sleep_sc,phq15,,radio,"o. Trouble sleeping","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_sc,,
