Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,demographics,,text,Record ID,,,,,,,,,,,,,
date_enrolled,demographics,,text,Date of Consent Signed:,,YYYY-MM-DD,date_ymd,,,,,,,,,,
first_name,demographics,,text,Subject Initials (FML),,"If no middle initial, please put a hyphen (-) as a place holder",,,,y,,,,,,,
dob,demographics,,text,Date of Birth,,YYYY-MM-DD,date_ymd,,,y,,,,,,,
age,demographics,,calc,Age (years),"rounddown(datediff(""today"", [dob], ""y"", ""ymd""), 1 )",,,,,,,,,,,,
ethnicity,demographics,,radio,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown / Not Reported",,,,,,,,LH,,,,
race,demographics,,dropdown,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported",,,,,,,,,,,,
sex,demographics,,radio,Gender,"0, Female | 1, Male",,,,,,,,,,,,
instruct_phq15_sc_1,phq15_1,,descriptive,"<center>During the past <u>4 weeks</u>, how much have you been bothered by any of the following problems?</center>",,,,,,,,,,,,,
stomach_pain_sc_1,phq15_1,,radio,a. Stomach pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
back_pain_sc_1,phq15_1,,radio,b. Back pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
leg_pain_sc_1,phq15_1,,radio,"c. Pain in your arms, legs, or joints (knees, hips, etc.)","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
menstrual_pain_sc_1,phq15_1,,radio,d. Menstrual cramps or other problems with your periods (WOMEN ONLY),"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
headache_sc_1,phq15_1,,radio,e. Headaches,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
chest_pain_sc_1,phq15_1,,radio,f. Chest pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
dizziness_sc_1,phq15_1,,radio,g. Dizziness,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
fainting_sc_1,phq15_1,,radio,h. Fainting spells,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
heart_pound_sc_1,phq15_1,,radio,i. Feeling your heart pound or race,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
short_of_breath_sc_1,phq15_1,,radio,j. Shortness of breath,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
sexual_pain_sc_1,phq15_1,,radio,k. Pain or problems during sexual intercourse,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
bowel_sc_1,phq15_1,,radio,"l. Constipation, loose bowels, or diarrhea","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
nausea_sc_1,phq15_1,,radio,"m. Nausea, gas, or indigestion","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
tired_sc_1,phq15_1,,radio,n. Feeling tired or having low energy,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
sleep_sc_1,phq15_1,,radio,o. Trouble sleeping,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_1,,
instruct_phq15_sc_2,phq15_2,,descriptive,"<center>During the past <u>4 weeks</u>, how much have you been bothered by any of the following problems?</center>",,,,,,,,,,,,,
stomach_pain_sc_2,phq15_2,,radio,a. Stomach pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
back_pain_sc_2,phq15_2,,radio,b. Back pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
leg_pain_sc_2,phq15_2,,radio,"c. Pain in your arms, legs, or joints (knees, hips, etc.)","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
menstrual_pain_sc_2,phq15_2,,radio,d. Menstrual cramps or other problems with your periods (WOMEN ONLY),"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
headache_sc_2,phq15_2,,radio,e. Headaches,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
chest_pain_sc_2,phq15_2,,radio,f. Chest pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
dizziness_sc_2,phq15_2,,radio,g. Dizziness,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
fainting_sc_2,phq15_2,,radio,h. Fainting spells,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
heart_pound_sc_2,phq15_2,,radio,i. Feeling your heart pound or race,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
short_of_breath_sc_2,phq15_2,,radio,j. Shortness of breath,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
sexual_pain_sc_2,phq15_2,,radio,k. Pain or problems during sexual intercourse,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
bowel_sc_2,phq15_2,,radio,"l. Constipation, loose bowels, or diarrhea","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
nausea_sc_2,phq15_2,,radio,"m. Nausea, gas, or indigestion","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
tired_sc_2,phq15_2,,radio,n. Feeling tired or having low energy,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
sleep_sc_2,phq15_2,,radio,o. Trouble sleeping,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_2,,
instruct_phq15_sc_3,phq15_3,,descriptive,"<center>During the past <u>4 weeks</u>, how much have you been bothered by any of the following problems?</center>",,,,,,,,,,,,,
stomach_pain_sc_3,phq15_3,,radio,a. Stomach pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
back_pain_sc_3,phq15_3,,radio,b. Back pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
leg_pain_sc_3,phq15_3,,radio,"c. Pain in your arms, legs, or joints (knees, hips, etc.)","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
menstrual_pain_sc_3,phq15_3,,radio,d. Menstrual cramps or other problems with your periods (WOMEN ONLY),"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
